	LTHSC.1	LTHSC.2	LTHSC.3	LTHSC.4	LTHSC.5	LTHSC.6	LTHSC.7	LTHSC.8	LTHSC.9	LTHSC.10	LTHSC.11	LTHSC.12	LTHSC.13	LTHSC.14	LTHSC.15	LTHSC.16	LTHSC.17	LTHSC.18	LTHSC.19	LTHSC.20	LTHSC.21	LTHSC.22	LTHSC.23	LTHSC.24	LTHSC.25	LTHSC.26	LTHSC.27	LTHSC.28	LTHSC.29	LTHSC.30	LTHSC.31	LTHSC.32	LTHSC.33	LTHSC.34	LTHSC.35	LTHSC.36	LTHSC.37	LTHSC.38	LTHSC.39	LTHSC.40	LTHSC.41	LTHSC.42	LTHSC.43	LTHSC.44	LTHSC.45	LTHSC.46	LTHSC.47	LTHSC.48	LTHSC.49	LTHSC.50
Kdm3a	0	7.32656107966971	1.14127734767848	0	0	2.96949480533823	0	3.93604867927912	0	0	0	0	0	0	8.0631381419536	0	1.27462243032525	1.70870699118727	0	0	2.57413019231015	1.79385617573318	1.73801023059881	0	0.472094735381451	1.00772381180749	1.22780387493217	0	0	7.52738388609237	1.41170848860352	8.40978379377231	6.5635867070429	8.91430873072185	8.52900090017777	8.44424883099602	0	0	5.67941979287937	6.85456211470492	1.95684277248099	4.87645519217087	7.01994954996407	1.18745050762379	1.76182146942908	0.869290379276498	0	2.0147484015161	0	1.68743497995824
Coro2b	1.31280947006219	5.69922028289176	0	0	0	6.11532859528898	0	0	7.60674872561647	0	6.82789756189066	0.820433392630413	0	0	2.92718667465933	0	0	0	0	0	4.37993098087147	1.40323301959333	0	0	7.72515761152542	1.59525175454499	8.06289469761654	2.56721816234535	0	0	6.24266766394657	6.11901486679772	0	1.38718940125449	0	2.97774241576316	0	1.86692669209532	5.55644585483272	5.33897403253417	1.2875062125702	2.33725204080983	0	0	0	0.869290379276498	0	4.26653214418522	6.50768523430154	0
Phf6	0	1.685034616804	6.25474794568773	2.36983989453183	2.15843794441067	7.82321710864955	7.73561938808137	1.11100858413192	6.21774549346753	3.91938903841001	0.929387550053108	8.695596004004	2.33873940769807	1.94463403352079	2.92718667465933	4.56858628403382	8.33625467430053	5.66990273392551	2.79550227732982	0	0	3.32871442685815	2.50372924607337	2.28049138943682	1.89136255355152	2.0115702661289	2.32949845924213	9.67741096569987	2.80315975165001	7.01689635469826	6.42099673549285	3.8778140281163	1.52570759778121	2.0811255728358	7.77959820471997	6.51202954187207	2.89458771332169	0	3.76149426081289	6.67462667965702	1.2875062125702	0	7.17748888605834	2.88508538303354	7.26716731458523	2.36003291877403	1.22819786149267	8.4912515087682	5.77418675993907	4.60399852129435
Usp14	1.31280947006219	3.30186920278698	1.77041664242067	3.22306342876753	6.10644297632838	8.54449211708069	9.79267744198692	8.97960207214824	5.82121520951886	1.83559438245591	1.89274151708825	8.7114993091241	4.41230879836474	6.3103134397023	1.6790118967536	3.72669536353356	8.27477273833535	3.16033467518652	3.68767128536908	9.47599596929488	8.7217317301429	3.9051543940963	7.40236271809921	3.12380988401281	9.11828159204455	9.86401281183224	8.67358448110495	3.98002219494836	8.02302923219075	8.82472749726769	3.65805641709334	8.40978379377231	7.2017113562728	3.18244287839777	7.26243760911953	8.66503128632088	2.07661281416441	3.8316479083804	4.45526851730611	1.79377669719658	1.2875062125702	5.22806930409644	4.35523395431813	5.87005546101127	2.53169843606084	2.92867601277578	8.76389470460884	7.69901620300503	1.88219742705972	2.11478453105817
Tmem167b	4.23350322169997	0	0.680667469145265	1.62499868303697	0	2.96949480533823	7.90099926313957	0.471609226479629	0	0	0	0	2.82535958000413	0	8.32329088303608	6.6023148329416	1.27462243032525	2.13849211172478	5.54104706717607	0	0	0	3.00130567739487	3.5611569112206	0	0	0.740755741907091	2.9200786510993	1.58170064520745	0.733277872112113	1.41170848860352	0	8.75524347450039	0	1.95533016715751	1.44327841884737	8.41837823698433	1.86692669209532	0	1.79377669719658	1.2875062125702	3.71810681402877	0	0	0	7.70973565173538	8.65277239043543	2.0147484015161	6.54966086236754	0
Kbtbd7	0	0	0.680667469145265	0	0	2.96949480533823	0	2.68103867053083	10.9100511713454	1.19193662255007	0	0	0	6.41036374319818	0	0	1.64571659004074	6.63934021950949	0	0	0	0	1.73801023059881	0.825123596197195	0	0.590116300441331	9.1395814513024	1.40174974791195	1.58170064520745	1.86775714163276	1.41170848860352	2.97275798780294	0	0	0	0	0	0	8.56170391961783	1.15937522308033	0	0	2.80526629551527	0	0	0	1.22819786149267	1.33373885305582	0	0
Rag2	1.31280947006219	6.94077120918515	1.14127734767848	5.10226765078671	0.759464758228743	0	0	0	0	1.19193662255007	0.538273609134536	0	1.59898549684941	0	0	0	1.64571659004074	0	0	1.68808183436461	1.79807507476446	2.75644206519869	0	0.825123596197195	0	1.81837632218652	1.22780387493217	0	0.997554300020128	0.733277872112113	0	0	0.460329275232209	1.38718940125449	1.95533016715751	1.44327841884737	2.07661281416441	0	0	1.15937522308033	1.2875062125702	0	0	0	1.76182146942908	0.869290379276498	1.88185381389216	0	0	0
Hmgcs1	6.5623592535377	1.685034616804	0	1.62499868303697	9.45711338291441	2.96949480533823	0	0.471609226479629	1.52743676925729	3.12226731218638	0.538273609134536	1.72150794335054	10.0474871787661	3.0221019669637	8.0631381419536	3.28421304273593	0.773724179706686	6.88064739168088	4.63057466166333	0	0	1.40323301959333	6.37070787552183	9.66678237664259	7.15670676368694	1.33119171927287	6.70517410678687	2.09910560344277	0	7.05332821086979	1.41170848860352	3.49512375938416	1.32390220265707	0	2.7561892619517	7.98236247556859	0	1.86692669209532	9.66026879290438	1.15937522308033	0	9.10920718510429	1.32046637386361	1.82984885974111	0	0.869290379276498	0	2.0147484015161	1.22846814583548	0
Zfp947	1.98859268499811	0	0	0	0	0	0	0.471609226479629	0	0	0.538273609134536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.590116300441331	0	0	8.28513896113402	0	1.41170848860352	0	0	0	0	0	0	4.91279453204663	0	0	1.2875062125702	0	0	0	0	0	0	0	0	0
Atad2	8.44424522832486	6.55535921200271	1.77041664242067	2.85862886956595	1.62226850891575	5.39217021616888	0.781653072803016	8.47709541586434	2.5126896502273	1.83559438245591	1.70538892296946	2.2719282142198	9.28539243630086	2.74390318591845	1.6790118967536	0	1.64571659004074	1.70870699118727	2.79550227732982	0	0	3.32871442685815	3.00130567739487	2.84267608579759	1.34964167848499	3.47344429967239	2.81546450968477	2.09910560344277	2.31801298235076	8.37305449016164	5.84442821402567	2.97275798780294	6.77639785322429	3.18244287839777	1.95533016715751	1.44327841884737	2.89458771332169	1.86692669209532	4.14968907796177	1.79377669719658	0	2.33725204080983	1.32046637386361	1.18745050762379	1.76182146942908	1.79920853632109	2.94742457230315	2.0147484015161	2.94783499464083	1.68743497995824
